Géographie;Système de classification des industries de l'Amérique du Nord (SCIAN);Ajustements;Période de référence;Ventes totles du commerce de détil
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;mai-23;1 353 787
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;juin-23;1 380 243
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;juil-23;1 359 530B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;août-23;1 361 819B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;sept-23;1 394 760B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;oct-23;1 337 196
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;nov-23;1 338 530
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;déc-23;1 347 162
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;janv-24;1 369 662
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;févr-24;1 397 317
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;mars-24;1 344 988
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;avr-24;1 340 098
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;mai-24;1 357 438
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;juin-24;1 372 517
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;juil-24;1 394 284B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;août-24;1 443 968B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;sept-24;1 326 590B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;oct-24;1 412 178
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;nov-24;1 386 219
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;déc-24;1 481 851C
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;janv-25;1 528 033B
Canada;Concessionnaires d'automobiles d'occasion  [44112];Désaisonnalisées;févr-25;1 516 898B
